City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,10.62,78,36,6.76,CL,1683501435
83,arraial do cabo,-22.9661,-42.0278,23.96,86,28,6.73,BR,1683501525
84,darhan,49.4867,105.9228,11.64,48,100,2.07,MN,1683501525
85,hawaiian paradise park,19.5933,-154.9731,26.73,73,75,7.72,US,1683501525
86,haiku-pauwela,20.9219,-156.3051,27.01,60,40,11.32,US,1683501381
87,san patricio,28.017,-97.5169,28.42,67,96,7.11,US,1683501051
88,kerikeri,-35.2268,173.9474,19.39,94,97,2.24,NZ,1683501525
89,afaahiti,-17.75,-149.2833,29.93,76,79,6.57,PF,1683501049
90,cotonou,6.3654,2.4183,28.99,79,40,2.06,BJ,1683501408
91,mercedes,-34.6515,-59.4307,15.58,66,42,2.81,AR,1683501526
92,utrik,11.2278,169.8474,27.27,81,90,8.33,MH,1683501526
93,tura,25.5198,90.2201,22.72,42,10,2.3,IN,1683501526
94,mechetinskaya,46.7713,40.456,9.88,92,100,7.21,RU,1683501526
95,sisimiut,66.9395,-53.6735,0.02,89,76,5.01,GL,1683501526
96,hithadhoo,-0.6,73.0833,28.28,72,14,7.09,MV,1683501526
97,peniche,39.3558,-9.3811,16.73,87,45,7.21,PT,1683501381
98,uturoa,-16.7333,-151.4333,27.9,76,49,5.79,PF,1683501526
99,lindsay,36.203,-119.0882,25.42,36,0,4.12,US,1683501527
100,todos santos,23.45,-110.2167,24.23,47,95,4.71,MX,1683501478
101,vilyuchinsk,52.9306,158.4028,9.15,75,15,0.86,RU,1683501527
102,torghay,49.6339,63.4981,16.56,39,15,3.37,KZ,1683501527
103,punta del este,-34.9667,-54.95,16.6,89,0,3.58,UY,1683501527
104,bouarfa,32.53,-1.95,18.2,36,0,7.4,MA,1683501527
105,bonthe,7.5264,-12.505,27.91,82,66,3.04,SL,1683501527
106,grand falls-windsor,48.9332,-55.6649,8.06,76,100,3.78,CA,1683501527
107,whitehorse,60.7161,-135.0538,14.43,26,40,4.63,CA,1683501528
108,marsh harbour,26.5412,-77.0636,22.62,62,0,8.9,BS,1683501528
109,chonchi,-42.6128,-73.8092,8.4,95,47,0.6,CL,1683501047
110,pemangkat,1.1667,108.9667,26.08,90,100,3.06,ID,1683501528
111,karachi,24.9056,67.0822,25.9,89,0,3.6,PK,1683501528
112,macapa,0.0389,-51.0664,27.99,83,40,2.57,BR,1683501528
113,sapatgram,26.3334,90.109,24.56,58,30,4.02,IN,1683501528
114,ust'-kulom,61.6864,53.6902,-3.98,81,100,4.84,RU,1683501528
115,punta arenas,-53.15,-70.9167,9.06,71,75,10.29,CL,1683500760
